Kyle O'Quinn,PF,nyk,http://www.basketball-reference.com/players/o/oquinky01/gamelog/
Jahlil Okafor,C,phi,http://www.basketball-reference.com/players/o/okafoja01/gamelog/
Victor Oladipo,SG,okc,http://www.basketball-reference.com/players/o/oladivi01/gamelog/
Kelly Olynyk,C,bos,http://www.basketball-reference.com/players/o/olynyke01/gamelog/
Arinze Onuaku,PF,orl,http://www.basketball-reference.com/players/o/onuakar01/gamelog/
Zaza Pachulia,C,gsw,http://www.basketball-reference.com/players/p/pachuza01/gamelog/
Jabari Parker,PF,mil,http://www.basketball-reference.com/players/p/parkeja01/gamelog/
Tony Parker,PG,sas,http://www.basketball-reference.com/players/p/parketo01/gamelog/
Chandler Parsons,SF,mem,http://www.basketball-reference.com/players/p/parsoch01/gamelog/
Lamar Patterson,SG,sac,http://www.basketball-reference.com/players/p/pattela01/gamelog/
Patrick Patterson,PF,tor,http://www.basketball-reference.com/players/p/pattepa01/gamelog/
Chris Paul,PG,lac,http://www.basketball-reference.com/players/p/paulch01/gamelog/
Adreian Payne,PF,min,http://www.basketball-reference.com/players/p/paynead01/gamelog/
Cameron Payne,PG,okc,http://www.basketball-reference.com/players/p/payneca01/gamelog/
Elfrid Payton,PG,orl,http://www.basketball-reference.com/players/p/paytoel01/gamelog/
Nikola Pekovic,C,min,http://www.basketball-reference.com/players/p/pekovni01/gamelog/
Paul Pierce,SF,lac,http://www.basketball-reference.com/players/p/piercpa01/gamelog/
Mason Plumlee,PF,por,http://www.basketball-reference.com/players/p/plumlma01/gamelog/
Miles Plumlee,C,mil,http://www.basketball-reference.com/players/p/plumlmi01/gamelog/
Quincy Pondexter,SG,nor,http://www.basketball-reference.com/players/p/pondequ01/gamelog/
Bobby Portis,PF,chi,http://www.basketball-reference.com/players/p/portibo01/gamelog/
Kristaps Porzingis,PF,nyk,http://www.basketball-reference.com/players/p/porzikr01/gamelog/
Dwight Powell,PF,dal,http://www.basketball-reference.com/players/p/poweldw01/gamelog/
Norman Powell,SG,tor,http://www.basketball-reference.com/players/p/powelno01/gamelog/
Phil Pressey,PG,gsw,http://www.basketball-reference.com/players/p/pressph01/gamelog/
Ronnie Price,PG,okc,http://www.basketball-reference.com/players/p/pricero01/gamelog/
Pablo Prigioni,PG,hou,http://www.basketball-reference.com/players/p/prigipa01/gamelog/
Julius Randle,PF,lal,http://www.basketball-reference.com/players/r/randlju01/gamelog/
Zach Randolph,PF,mem,http://www.basketball-reference.com/players/r/randoza01/gamelog/
